44station,LARCENY
19,13
19,25
31,26
26,19
27,19
21,15
29,14
25,21
16,12
22,19
17,14
13,17
9,12
9,11
14,12
13,20
21,25
22,25
17,12
28,27
13,27
25,16
21,16
23,23
17,13
20,20
16,15
23,22
23,11
21,21
22,20
14,23
32,24
30,21
26,15
21,11
24,19
22,10
14,24
16,20
23,20
40,24
22,21
29,25
16,16
25,23
26,17
24,22
12,9
13,14
20,17
22,16
33,22
26,30
27,31
33,29
14,21
27,12
30,20
21,26
11,14
15,19
22,20
24,11
25,31
22,24
27,32
17,26
25,30
27,25
24,23
29,17
21,11
15,15
20,22
13,25
16,17
16,14
17,21
15,28
20,18
20,29
17,17
14,20
15,15
14,19
20,28
18,17
21,27
20,30
40,20
29,20
23,20
22,24
21,29
22,28
18,23
23,13
19,20
18,28
14,22
14,12
14,26
23,24
10,20
3,34
21,16
24,20
14,24
11,16
19,14
20,22
21,18
22,22
24,28
23,18
14,24
19,19
20,16
25,33
23,17
20,14
29,17
21,16
21,24
22,22
20,31
8,21
18,31
13,14
19,20
12,19
19,21
8,13
17,18
12,23
11,20
25,21
16,25
18,25
6,32
6,28
22,27
13,22
